#MESH-TABLE_BASED-DIJKSTRA-2-packet_injection_rate-0.05-1-0.05
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53393,53321,53417,5.50443,5.49701,5.50691,0.0550691,9699,66,104,6675,0,41.3545,145.2,0.010701
0.1,108926,75806,73601,11.2295,7.81505,7.58773,0.0758773,7056,3495,3536,9207,0,73.8461,356.667,0.159083
0.15000000000000002,164171,4771,3104,16.9248,0.491856,0.32,0.0032,441,9690,9782,401,0,142.491,460.464,0.389368
0.2,217875,427,72,22.4613,0.0440206,0.00742268,7.42268e-05,65,9700,9962,11,0,142.416,278.5,0.402175
0.25,268562,130,9,27.6868,0.0134021,0.000927835,9.27835e-06,33,9700,9994,2,0,116.125,211.25,0.388836
0.3,322056,16,0,33.2016,0.00164948,0,0,0,9698,9981,0,0,-nan(ind),-1,0.406164
0.35000000000000003,374200,0,0,38.5773,0,0,0,0,0,9993,0,0,-nan(ind),-1,0.419853
0.4,424353,49,62,43.7477,0.00505155,0.00639175,6.39175e-05,100,9698,9996,9,0,268.276,334.05,0.426075
0.45,474888,0,0,48.9575,0,0,0,0,0,9992,0,0,-nan(ind),-1,0.409981
0.5,525316,4,0,54.1563,0.000412371,0,0,0,9699,9999,0,0,-nan(ind),-1,0.413072
0.55,578040,0,0,59.5918,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.418778
0.6000000000000001,623433,1,0,64.2714,0.000103093,0,0,0,9700,9999,0,0,-nan(ind),-1,0.433601
0.6500000000000001,673217,1,3,69.4038,0.000103093,0.000309278,3.09278e-06,5,9700,9998,1,0,231,231,0.435243
0.7000000000000001,721144,0,0,74.3447,0,0,0,0,0,10000,0,0,-nan(ind),-1,0.428938
0.7500000000000001,768968,0,0,79.2751,0,0,0,0,0,9997,0,0,-nan(ind),-1,0.424622
0.8,814648,0,0,83.9843,0,0,0,0,9700,10000,0,0,-nan(ind),-1,0.430637
0.8500000000000001,861936,0,0,88.8594,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.415165
0.9000000000000001,907206,86,40,93.5264,0.00886598,0.00412371,4.12371e-05,41,9700,10000,5,0,296.361,309.194,0.427102
0.9500000000000001,951056,0,0,98.047,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.41404
1.0,995784,0,0,102.658,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.430695
